num__vibration_rms,num__temperature_motor,num__current_phase_avg,num__pressure_level,num__rpm,num__hours_since_maintenance,num__ambient_temp,cat__machine_type_CNC,cat__machine_type_Compressor,cat__machine_type_Pump,cat__machine_type_Robotic Arm,cat__operating_mode_idle,cat__operating_mode_normal,cat__operating_mode_peak
-0.2909702396972344,-0.7555965483043432,-0.6396245831409887,-0.32857770481662,-0.8731294170462125,-0.20653555668836962,0.48845009746507567,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.271885296607726,1.238056325529133,0.5258506722401197,0.3036942920373437,1.8202475961509208,-0.6457118577662863,1.0448150150437785,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.17790308368378033,0.20461177460320837,-0.2523860305466205,-0.2708599291702002,-0.5235344659359581,-1.0012323709802675,-0.5895069303436612,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.5265268147252639,0.01745252522292308,-0.5625528323819156,-0.2682363939135447,-0.4251381690783017,-0.7624053794575333,0.836178170951765,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.11194724267593201,-0.33652257686587794,-0.38961134287375093,-0.48598982021594705,-0.9014959170412126,-0.3063785073110681,-1.3545086920143783,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3.214111596719844,3.2032284440221304,3.935805693629362,-0.3233306343033092,2.485309053064945,-0.23771574724828204,0.7666325562544268,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6889451124193682,-0.046018872392999934,0.8529356632664309,1.0986254748039452,0.7526256139172276,-0.5005581195852468,-1.3545086920143783,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-1.1860852248037463,-1.898081705390956,-1.188525832449511,-1.0946499997600119,-1.0938562451323066,-1.0801779598447268,-0.5895069303436612,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.2448586294855182,0.9727784329292497,1.1781408554937398,-0.3233306343033092,2.0924995121185574,0.8050957749033454,1.5664071252738125,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.09310271667368962,-0.47567141010078595,-0.1189203158174934,-0.011129938761310406,-0.7178893135579506,-0.8164731567050412,-0.3460972789029789,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.2837878033711575,1.16400636164389,0.13297272324874612,-0.016377009274621383,-0.7267538448063882,-0.9893573622351092,0.9752694003464409,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2.045750984580818,0.48860559214112004,1.3416833510068957,0.1357880356113947,2.0278992406455694,1.538759024694989,-1.6674639581523987,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.6135670084103987,0.7530697488741322,1.0070791647845772,1.4449321286824648,0.6183279655033992,-0.9928070854459932,1.079587822392448,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.8491235834384282,1.9964581534527244,1.6161339756611566,2.3552988627419063,0.7919619713321691,-1.044884637764145,1.079587822392448,0.0,0.0,1.0,0.0,0.0,0.0,1.0
